destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,safety_sentiment,safety_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,aspects_detected,aspect_sentiments,num_aspects
Candi Kalasan,gunawan mahdi,5,"Suasana tidak gaduh meskipun dekat jalan raya. Tiket juga murah, tempat bersih dan cukup sejuk udaranya tidak panas. Rekomendasi untuk yang istirahat sejenak dalam perjalanan sambil lihat-lihat candi Kalasan yang meninggalkan pesan sejarah betapa hebatnya bangsa kita..",positive,0.505,,,positive,0.505,,,positive,0.505,,,positive,0.505,positive,0.505,,,,,,,positive,0.505,"cleanliness, price, accessibility, atmosphere, food, historical_value",cleanliness:positive; price:positive; accessibility:positive; atmosphere:positive; food:positive; historical_value:positive,6
Museum Ullen Sentalu,Mutia Tiara,5,Cocok banget buat yang senang sejarah! Museum ini menceritakan bagaimana kisah keraton yogyakarta dari jaman kerajaan sampai saat ini. Dengan tiket masuk 50k kita bisa menjelajahi barang peninggalan dari sejarah perkembangan Keraton yang diceritakan secara rinci oleh guidenya. Penjelasan guide gampang dipahami dan diselipkan candaan masa kini agar semua pengunjung dengan latar usia yang berbeda-beda bisa mengerti. Estimasi trip 50 menit dan super worth it. Sayang sekali saya datang ketika jam ma,,,,,positive,0.835,positive,0.835,,,,,,,,,positive,0.835,positive,0.835,,,positive,0.835,"price, service, safety, crowd, historical_value",price:positive; service:positive; safety:positive; crowd:positive; historical_value:positive,5
Pantai Baru,Priss Ayun,5,"Parkiran luas, banyak diaediakan tempat cuci tangan, harus hati-hati karena banyak ATV lewat. Banyak tempat makan, pasar, ikan mentah, bumbu dapur, mainan anak, dll. Banyak kolam renang dan kamar mandi juga",,,negative,0.581,,,,,negative,0.581,,,,,negative,0.581,negative,0.581,,,,,,,"facilities, accessibility, food, safety",facilities:negative; accessibility:negative; food:negative; safety:negative,4
Pantai Sadeng,NoEr,5,"Setelah bertahun² tdk kemari, banyak sekslii yg berubaah, tebing² yg dl ada disekeliling tdk bgitu nampak krn tertutup bangunan², sebenarnya Sadeng memiliki potensi utk dkembangkn kembali dg mendongkrak promosi penghasil ikan tuna, tp kmarin ksn sepi ikan tuna, dl banyak sekali di gelar di pasar selain itu perbaiki jg layout penataan Toilet dan pedagang² nyaa",,,negative,0.872,,,,,,,,,negative,0.872,,,,,negative,0.872,,,,,"facilities, atmosphere, crowd",facilities:negative; atmosphere:negative; crowd:negative,3
Agrowisata Bhumi Merapi,Mas Fahmi,5,"Overall wisata keluarga di Bhumi Merapi menjadi salahsatu tempat yang iconik untuk dikunjungi, harga tiket masuknya tidak sampai 50 rb/org, anda sudah mendapatkan beragam wahana serta tempat spot foto yang instagramabel disini, di tmpt ini juga kamu bisa menikmati jajanan serta bermain kuda disini, untuk lokasi nya berapa di Jl. KALIURANG atas tidak jauh dari Cangkirngan. Selamat berlibur yaa guys",positive,0.695,,,positive,0.695,,,positive,0.695,,,,,,,,,,,positive,0.695,,,"cleanliness, price, accessibility, photo_spot",cleanliness:positive; price:positive; accessibility:positive; photo_spot:positive,4
Malioboro,Muhhammad Kai,5,"Jalan Malioboro jadi jantungnya Yogyakarta—hidup, penuh warna, dan selalu ramai. Lampu-lampu malam, pedagang kaki lima, musik jalanan, sampai aroma sate dan gudeg bikin suasana makin khas. Tempat yang pas buat belanja, nongkrong, dan menikmati vibe Jogja yang hangat.",,,,,,,,,positive,0.654,,,positive,0.654,,,,,positive,0.654,,,,,"accessibility, atmosphere, crowd",accessibility:positive; atmosphere:positive; crowd:positive,3
Agrowisata Bhumi Merapi,Natalia Lee,5,"Tempat yang sangat menarik untuk dikunjungi segala usia. Udara sejuk dan suasana nyaman. Bangunan facade kota2 dunia cukup detail, sangat instagramable dan bagus untuk foto2. Sayangnya saat hujan agak susah berteduh. Koleksi hewan2 lucu disini juga cukup banyak. Cocok jadi media edukasi anak. Area Bhumi Merapi dilengkapi kantin yang cukup ramah untuk sekedar ngopi selepas berkeliling. Foto2 diambil saat hujan, suasana syahdu.",negative,0.512,,,,,negative,0.512,,,negative,0.512,negative,0.512,,,negative,0.512,,,negative,0.512,,,"cleanliness, service, scenery, atmosphere, safety, photo_spot",cleanliness:negative; service:negative; scenery:negative; atmosphere:negative; safety:negative; photo_spot:negative,6
Pantai Ngobaran,Rika Novita,5,Pantainya bagus tapi tetap berhati hati karena ada karang jalan turunnya . pemandangan bagus banyak penjual makanan spot foto ada juga tempat peribadatan tapi harus izin terlebih dahulu mantab pokoknya 👍 …,,,,,,,,,negative,0.572,negative,0.572,,,negative,0.572,,,,,negative,0.572,,,"accessibility, scenery, food, photo_spot",accessibility:negative; scenery:negative; food:negative; photo_spot:negative,4
Pantai Depok,iwan yulianto,5,"menu sarapan hingga makan siang dengan menu ikan laut segar, lokasi dipinggir laut..... suasana alam yang indah parkir mobil juga deket, langsung ke lokasi rumah makan",,,negative,0.554,,,,,negative,0.554,negative,0.554,negative,0.554,negative,0.554,,,,,,,,,"facilities, accessibility, scenery, atmosphere, food",facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative,5
Pantai Slili,Zidane Maulanaibrahim,5,PT tiga hasta mengada piknik di pantai slili yg indah dan bersih,negative,0.55,,,,,,,,,negative,0.55,,,,,,,,,,,,,"cleanliness, scenery",cleanliness:negative; scenery:negative,2
Bukit Bintang,Nugroho Nurcahyono,5,"Ruang terbuka santai buat obrol bersama siapapun 🤣 bisa keluarga teman dan semuanya sambil menikmati degan kelapa muda dihiasi sorotan lampu ""bintang"" jadikan harimu bercahaya buat sekeliling, terimakasih …",negative,0.958,negative,0.958,negative,0.958,negative,0.958,negative,0.958,negative,0.958,negative,0.958,,,negative,0.958,negative,0.958,,,,,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, safety, crowd",cleanliness:negative; facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; safety:negative; crowd:negative,9
Candi Prambanan,Putri Mei Maharani,5,"Tempat dengan candi yang cantik, penuh dengan sejarah yang magis, pelayanan staff maupun petugasnya ramah dan sangat membantu sekali untuk solo traveler. Tiketnya bisa dibeli online melalui berbagai platform dan on the spot. Untuk yang ingin menonton pertunjukkan teater, kalo di online sudah habis lebih baik beli on the spot saja karena marak penipuan terutama akun jastip. Saran untuk pengunjung jika disiang hari lebih baik kalian bawa topi/payung dan bawa sunscreen supaya ga kepanasan.",,,,,positive,0.399,positive,0.399,,,positive,0.399,,,,,,,positive,0.399,positive,0.399,positive,0.399,"price, service, scenery, crowd, photo_spot, historical_value",price:positive; service:positive; scenery:positive; crowd:positive; photo_spot:positive; historical_value:positive,6
Prawirotaman,Rina Agustini,5,"Jalan yg bersih, nyaman deh.",negative,0.521,,,,,,,negative,0.521,,,negative,0.521,,,negative,0.521,,,,,,,"cleanliness, accessibility, atmosphere, safety",cleanliness:negative; accessibility:negative; atmosphere:negative; safety:negative,4
Pantai Wediombo,Siffa Geonanda,5,"Pantai yang sangat indah nan bagus banget pemandangan nya, rekomen kalo ingin ke sini healing apalagi saat hari biasa kayak pantai privat karena sepi kalo weekend kurang tau mungkin juga ramai. Untuk htm masuk 10k 2 orang dihitung dari perorang sekitar 5k. Untuk parkir dibawah dikenai 5k juga. Pantainya pasir putih, dan banyak terumbu karang, banyak yang berjualan dan tertata dengan rapi. Untuk fasilitas mohon ditingkatkan lagi untuk kenyamanan bersama. Terimakasih",negative,0.594,negative,0.594,,,,,negative,0.594,negative,0.594,negative,0.594,,,negative,0.594,negative,0.594,,,,,"cleanliness, facilities, accessibility, scenery, atmosphere, safety, crowd",cleanliness:negative; facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; safety:negative; crowd:negative,7
Agrowisata Bhumi Merapi,eka putri,5,"Recommended buat yang suka foto² aesthetic karena spot fotonya banyak😃 Ada mini zoo nya, pengunjung jg boleh foto sama pegang langsung hewan² di sana, gemesin pol!!! Cocok buat liburan bareng keluarga atau pasangan. Aku kmrin perginya sama adekku, lumayan jadi momen bonding kakak–adek di awal tahun, wkwk. Saran aja kalo dateng jngn siang banget. Aku kmrin kesana sekitar jam 10-an, panas pol😓, bikin kurang leluasa foto²nya karena buru² kepanasan. Jadi kurang eksplor 🥲",,,,,,,,,,,,,,,,,,,positive,0.893,positive,0.893,,,"crowd, photo_spot",crowd:positive; photo_spot:positive,2
Pantai Pok Tunggal,Ian Kolin,5,"karcis masuk 16 ribu untuk dua org, belum termasuk parkir di area pantainya",,,negative,0.469,,,,,negative,0.469,,,,,,,,,,,,,,,"facilities, accessibility",facilities:negative; accessibility:negative,2
Candi Kalasan,Siti Hidayatul Choiriyah,5,"Candi Kalasan Cantik sekaliiiiii HTM WNI 6 Ribu Tapi kemarin berkunjung sangat pagi, jam 6 karena dari luar kota. Hanya ada bapak penjaga. Belum ada petugas tiket. Kata bapaknya sudah masuk aja nggak usah bayar gakpapa petugasnya belum ada Baik sekaliiii, sayang lupa tanya nama. Besok jumpa lagi nggih Bapak Baik. Uademmm, sekitarnya pemukiman warga~",,,,,negative,0.524,negative,0.524,,,negative,0.524,negative,0.524,,,,,,,,,negative,0.524,"price, service, scenery, atmosphere, historical_value",price:negative; service:negative; scenery:negative; atmosphere:negative; historical_value:negative,5
Candi Kalasan,Pradipta Indra Kumara,5,"Biasanya cuma lihat dari kejauhan, akhirnya kesampaian mampir. Bauar tiket cuma 6 ribu saja, ada beberapa tempat duduk yang bisa dipakai sekalian neduh",,,negative,0.692,negative,0.692,,,negative,0.692,,,,,,,,,,,,,,,"facilities, price, accessibility",facilities:negative; price:negative; accessibility:negative,3
Pantai Drini,Dz_ family,4,Panas poll Sewa tiker ma payung plus kano harga 50 rb murah Bawa sanscren Minum Makanan Mahal naik jeep ya 400 rb,,,,,negative,0.565,,,,,,,,,negative,0.565,,,,,,,,,"price, food",price:negative; food:negative,2
Studio Alam Gamplong,Kusuma Wardani,4,"Wahana yang worth itu naik kereta dan rumah hantu aja. Tapi kalau kalian kepo sama rumah rumah settingan film atau properti film bisa cobain semua wahana yang ditawarkan. Tempatnya luas tapi rumah-rumahnya agak-agak kurang kerawat. Entah emang sengaja atau gimana. Kami sempat kehujanan dan makan di warung depan studio. Ayam gorengnya enak, berasa asin sampai ke dalam. Tempe mendoannya panas karena baru digoreng. Worth to buy banget buat menghangatkan badan.",,,,,positive,0.561,,,,,,,,,positive,0.561,,,,,,,,,"price, food",price:positive; food:positive,2
Candi Mendut,Nadila ika Arifianti,5,"salah satu candi buddha tua yang ada di magelang. bagian serangkaian dengan candi pawon dan candi borobudur. konon dibangun lebih dulu sekitar abad ke-8 sebelum candi borobudur. banyak sekali cerita fabel dalam dinding muka candi. mulai dari angsa dan kura-kura, pertapa dan kepiting, buaya dan monyet, dan banyak lagi. di bagian dalam candinya ada 3 buddha. di bagian dalam ada lampunya, jadi lebih kelihatan (mungkin perlu request dinyalakan, karna lampu tidak selalu menyala), tenang untuk duduk b",,,negative,0.514,negative,0.514,,,negative,0.514,,,negative,0.514,,,negative,0.514,,,,,negative,0.514,"facilities, price, accessibility, atmosphere, safety, historical_value",facilities:negative; price:negative; accessibility:negative; atmosphere:negative; safety:negative; historical_value:negative,6
Candi Mendut,Keperluan Penelitian,5,Candi Mendut merupakan candi Budha. Lokasinya tidak jauh dari Candi Borobudur. Tiket masuk Rp. 10.500 (sudah termasuk tiket terusan ke Candi Pawon) Candi ini memiliki satu candi utama dan di dalam relungnya terdapat tiga patung Budha berukuran besar. Disekitar candi terdapat fasilitas toilet dan juga beberapa pedagan suvenir dan makanan. Tempat parkir juga cukup luas. Disamping cabdi terdapat wihara yang juga bisa dikunjungi tampa tiket masuk. Karena situs candi ini masih digunakan sebagai tempa,,,negative,0.547,negative,0.547,,,negative,0.547,,,negative,0.547,negative,0.547,,,negative,0.547,,,negative,0.547,"facilities, price, accessibility, atmosphere, food, crowd, historical_value",facilities:negative; price:negative; accessibility:negative; atmosphere:negative; food:negative; crowd:negative; historical_value:negative,7
Studio Alam Gamplong,Diary Akira Official,4,"Kalo kesini jangan lupa bawa sunblock sunscreen, topi payung dll, karna dsni panasnya luar biasa. Tapi disini memang bagus untuk foto foto.",,,,,,,,,,,negative,0.763,,,,,,,,,negative,0.763,,,"scenery, photo_spot",scenery:negative; photo_spot:negative,2
Pantai Parangtritis,amirul adi,4,"Pantai dengan segala cerita dan eksotisnya, bagi pecinta alam atau petualang pantai ini cocok. Perjalanan sekitar 1 jam dari pusat kota Jogja. Ada wisata delman dan bisa nyewa tempat (berteduh) dilautan pasirnya. Cuma, kebersihannya perlu dijaga, agar wisatawannya juga nyaman.",negative,0.577,,,,,,,negative,0.577,,,negative,0.577,,,negative,0.577,,,,,,,"cleanliness, accessibility, atmosphere, safety",cleanliness:negative; accessibility:negative; atmosphere:negative; safety:negative,4
Bukit Bintang,Bowo Ardianto,5,Menikmati hiruk pikuk kota Yogyakarta dan sekitarnya dari atas bukit. Siang atau malam menyimpan pesona tersendiri. Kalau malam dapat terlihat denyut nadi kota yang tak pernah tidur. Kerlip lampu di jalanan menandakan kehidupannya. Ngopi dan nyemil pisang goreng sembari menatap indahnya kota Yogya diwaktu malam merupakan kenikmatan tersendiri.,,,,,,,,,negative,0.724,negative,0.724,,,,,,,,,,,,,"accessibility, scenery",accessibility:negative; scenery:negative,2
Pantai Krakal,Farid Izaz,5,Buat bengong enak karna angin nya sepoi sepoi terus pasir putih nya panjang sama ombak nya enak buat berenang paling hati hati karna batu di pantai sedikit tajam,,,,,,,,,,,,,,,negative,0.565,negative,0.565,,,,,,,"food, safety",food:negative; safety:negative,2
Pantai Kukup,Nike,5,"Disini rame Bisa buat main air, bisa juga nyebrang ke pantai mesra banyak jual makanan souvenir",,,,,,,,,,,,,,,negative,0.511,,,,,,,,,food,food:negative,1
Sendang Sono,Desssanti,5,"Tempat berdoa yang sakral dan tenang banget, pertama saya di kasih tau google maps melewati jalan yang cuma bisa untuk satu mobil dan sampingnya jurang, jalanannya lumayan curam, pas pulang penjaganya suruh lewat jalan yang satunya lgi, ini jalannnya enak bngt, luas dan tidak seseram jalan pertama🫰🏻",,,,,,,,,negative,0.752,,,negative,0.752,negative,0.752,negative,0.752,,,,,,,"accessibility, atmosphere, food, safety",accessibility:negative; atmosphere:negative; food:negative; safety:negative,4
Malioboro,Ronny Santoso,5,Datang pada waktu liburan...cari tempat parkiran susah sekali...harus muter² dulu.,,,negative,0.648,,,,,negative,0.648,,,,,,,,,,,,,,,"facilities, accessibility",facilities:negative; accessibility:negative,2
Museum Ullen Sentalu,Siti Cholifah,5,"Salah satu tempat yang saya rekomendasikan untuk dikunjungi ketika di Jogja dan ingin merasakan suasana asri, belajar sejarah, serta ingin foto foto aesthetic.",,,,,,,,,,,,,positive,0.45,,,,,,,positive,0.45,positive,0.45,"atmosphere, photo_spot, historical_value",atmosphere:positive; photo_spot:positive; historical_value:positive,3
Pantai Pok Tunggal,PAK YONO,5,"Pantainya bagus dengan hiasan batu karang, pasir putih serta bukit indah di sekeliling pantai. Ombak juga landai, aman untuk mandi. Htm murah, parkir juga nyaman. Nexs time harus kesini lagi..",,,negative,0.652,negative,0.652,,,negative,0.652,negative,0.652,negative,0.652,,,negative,0.652,,,,,,,"facilities, price, accessibility, scenery, atmosphere, safety",facilities:negative; price:negative; accessibility:negative; scenery:negative; atmosphere:negative; safety:negative,6
Pantai Kukup,Ghani Vanbasten,5,Pantai Kukup ini termasuk bersih pemandangannya indah dengan hamparan pasir dan batu karang didepannya. Dan bagusnya area antara lapak pedagang sampai bibir pantai lumayan bersih dari pedagang dan luas sehingga kita sebagai Wisatawan bisa sangat leluasa menikmati alam pantai. Bisa bermain pasir Bisa mencari ikan ikan kecil Bisa Foto foto Tanpa terganggu dengan lapak pedagang permanen. Tapi untuk BERENANG tidak dianjurkan karena ombaknya yang besar yang langsung menghujam karang BERBAHAYA. Termas,positive,0.673,,,,,,,,,positive,0.673,,,,,positive,0.673,,,positive,0.673,,,"cleanliness, scenery, safety, photo_spot",cleanliness:positive; scenery:positive; safety:positive; photo_spot:positive,4
Malioboro,Asyraf Rasyid,5,"Lokasi di Jl.Malioboro ini sangat bagus untuk mengambil foto atau video bersama keluarga, sahabat, dan pasangan. Sangat rekomendasi dan sangat cocok untuk yang sedang berlibur ke Yogyakarta",,,,,,,,,,,positive,0.467,,,,,,,,,positive,0.467,,,"scenery, photo_spot",scenery:positive; photo_spot:positive,2
Pantai Baru,eko adiyanto,5,"Pantai Baru merupakan pantai yang berada di sisi selatan kabupaten bantul provinsi daerah istimewa yogyakarta. Kawasan pantai ini berada di sisi sebelah barat dari pantai samas. Pantai ini banyak menyuguhkan pemandangan laut yang elon dan dikelilingi dengan rindangnya pepohonan cemara laut. Di pantai ini juga terdapat tempat pelelangan ikan atau yg lebih dikenal dengan TPI. Banyak macam jenis ikan yang dilelang / dijual di kawasan pantai ini, mulai ikan tongkol, sotong, kepiting, udang, salem, h",negative,0.416,negative,0.416,,,,,negative,0.416,negative,0.416,negative,0.416,negative,0.416,negative,0.416,negative,0.416,,,,,"cleanliness, facilities, accessibility, scenery, atmosphere, food, safety, crowd",cleanliness:negative; facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative,8
Pantai Parangtritis,Cindya tari,5,"sebelum kesini alangkah baiknya bisa berkunjung dihari biasa karna tidak terlalu ramai pengunjung,serta cek perkiraan cuaca terlebih dahulu untuk menghindari cuaca kurang baik sehingga bisa berlibur dengan tenang tanpa ada kendala,tempatnya sangat bagus,tidak heran banyak turis yang berkunjung disini terlebih lagi jika ada festival layang²",,,,,,,,,,,negative,0.676,negative,0.676,,,,,negative,0.676,,,,,"scenery, atmosphere, crowd",scenery:negative; atmosphere:negative; crowd:negative,3
Pantai Sadeng,a6ustaufik,5,"Pantai Sadeng yg juga sebagai pelabuhan nelayan yang sangat menawan untuk dikunjungi. Luas pantai tidak terlalu luas tapi cukup bersih dan ada lokasi buat pengunjung bisa mengelar tikarnya dibawah tebing batu, biarpun tidak terlalu puas tapi sangat nyaman bisa istirahat ditempat tersebut. Sayang pelabuhannya kurang bersih. Pelabuhan dipenuhi perahu kecil serta sedang dan ada beberapa kapal besar terparkir di dermaga. Jangan lupa setelah puas menikmati keindahannya, belilah oleh oleh ikan laut. L",negative,0.636,negative,0.636,negative,0.636,,,negative,0.636,negative,0.636,negative,0.636,,,negative,0.636,negative,0.636,,,,,"cleanliness, facilities, price, accessibility, scenery, atmosphere, safety, crowd",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; scenery:negative; atmosphere:negative; safety:negative; crowd:negative,8
Pantai Nglambor,iskandar iis,5,"Ke sini brngn dg keluarga tujuanya selain mantai jg mau snorkeling, Utk pantainya bagus dan dikelola oleh warga sktr, akses pantai sampai parkiran mbl sdh bagus hanya dr parkiran mbl (10k) ke pantainya hrs jln kaki atw pk ojeg (5k) dg jln berbatu, Dipantainya ada jasa snorkeling sekaligus dg jasa foto, Kl mau kesini sebaiknya hubungi dlu mas² guidenya krn takutnya tdk bisa snorkeling krn kondisi lg pasang.",,,negative,0.501,,,negative,0.501,negative,0.501,negative,0.501,,,,,,,,,negative,0.501,,,"facilities, service, accessibility, scenery, photo_spot",facilities:negative; service:negative; accessibility:negative; scenery:negative; photo_spot:negative,5
Sendang Sono,Christina Rika,5,"Gua Maria yang cukup luas dan cantik banget tempatnya! Kalau buat jalanan ke lokasinya, dari belakang Gua Maria itu jelek bgt jalannya (banyak lobang), lebih baik ambil rute dari depan karena jalannya lebih bagus. Di sini adem banyak pohon, ada sungainya, bikin seger. Ada pendopo juga kalau mau istirahat duduk2. Tenang juga kalau lagi ga banyak pengunjung, karena di sini space untuk foto di depan patung Bunda Marianya itu sempit, jadi agak berisik... susah foto jarak jauh.",,,,,,,,,negative,0.637,negative,0.637,negative,0.637,,,,,negative,0.637,negative,0.637,,,"accessibility, scenery, atmosphere, crowd, photo_spot",accessibility:negative; scenery:negative; atmosphere:negative; crowd:negative; photo_spot:negative,5
Pantai Pok Tunggal,Dedi riyayadi,5,Pantainya keren asri,negative,0.483,negative,0.483,,,negative,0.483,negative,0.483,negative,0.483,,,negative,0.483,negative,0.483,negative,0.483,,,negative,0.483,"cleanliness, facilities, service, accessibility, scenery, food, safety, crowd, historical_value",cleanliness:negative; facilities:negative; service:negative; accessibility:negative; scenery:negative; food:negative; safety:negative; crowd:negative; historical_value:negative,9
Pantai Gesing,tanto wahyu,5,Kesini tanggal 30 desember 2024. Banyak wisata dekat pantai gesing. Kalau tidk salah Htm 50.000. Untuk parkiran masih tahap renovasi. Mungkin kedepannya bisa tambah bagus. Banyak spot foto bagus di tebing pantai,,,negative,0.385,,,,,negative,0.385,negative,0.385,,,,,,,,,negative,0.385,,,"facilities, accessibility, scenery, photo_spot",facilities:negative; accessibility:negative; scenery:negative; photo_spot:negative,4
Pantai Nglambor,Bramanditya issudibya,5,Wisata air yang berada di kabupaten Gunung Kidul yang ada wisata snorkelingnya. Akses jalan menuju pantai tidak lebar. Untuk kendaraan roda 2 bisa parkir didekat pantai sedangkan untuk kendaraan roda 4 parkir diatas dan menuju pantainya bisa jalan kaki atau ojek warga. Untuk snorkeling dikelola oleh warga dan menyesuaikan kondisi air pantai untuk bisa snorkeling. Disana juga ada warung makannya seafood dengan harga terjangkau. Untuk sinyal internet tidak tersedia. Semoga kedepan akses internet t,,,negative,0.496,negative,0.496,,,negative,0.496,,,,,negative,0.496,,,,,,,,,"facilities, price, accessibility, food",facilities:negative; price:negative; accessibility:negative; food:negative,4
Tugu Jogja,Bond Flow76,5,Kota yang penuh dengan tradisi dan kearifan lokal yang terus terjaga di tengah perubahan yang datang terus menerus.,,,,,,,,,,,,,,,,,,,negative,0.587,,,,,crowd,crowd:negative,1
Pantai Kesirat,raihana storee,5,"Pemandangan di Tanjung Sirat benar-benar luar biasa! Laut biru membentang luas, tebing-tebing cantik, dan angin sepoi-sepoi yang bikin hati adem. Tempatnya masih cukup sepi, cocok banget buat yang cari ketenangan dan healing dari hiruk-pikuk kota. Aksesnya memang butuh sedikit perjuangan, tapi semua terbayar lunas pas sampai. Duduk di tepi tebing sambil lihat ombak pecah di bawah, rasanya tenang banget. Bisa juga bawa bekal buat piknik bareng keluarga atau sahabat. Spot fotonya banyak yang Insta",positive,0.702,,,positive,0.702,,,positive,0.702,positive,0.702,positive,0.702,,,positive,0.702,positive,0.702,positive,0.702,,,"cleanliness, price, accessibility, scenery, atmosphere, safety, crowd, photo_spot",cleanliness:positive; price:positive; accessibility:positive; scenery:positive; atmosphere:positive; safety:positive; crowd:positive; photo_spot:positive,8
Pantai Wediombo,Ibrahim,5,"pantainya bagus, apalagi yang kolem berenang diantara batu karang, itu tempatnya dia rada jalan dulu ke ujung lumayan jauh tapi bagus bgt, bisa berenang diantara karang yg terkena ombak wah rekomend bgt kalo kesitu harus berenang.",,,,,,,,,negative,0.584,negative,0.584,,,,,negative,0.584,,,,,,,"accessibility, scenery, safety",accessibility:negative; scenery:negative; safety:negative,3
Pantai Kukup,Fernando Panghegar,3,"Banyak ormas parkir, kalo mau masuk vila gk usah parkir di luar walaupun suruh menepi terlebih dahulu, pantai nya bersih tapi sempit, ramai juga. Jadi tidak di rekomendasikan hari libur. Banyak penjual makanan, sudah banyak warung, bisa masuk ke pantai mesra. Banyak kang foto juga",negative,0.465,negative,0.465,,,,,negative,0.465,,,negative,0.465,negative,0.465,,,negative,0.465,negative,0.465,,,"cleanliness, facilities, accessibility, atmosphere, food, crowd, photo_spot",cleanliness:negative; facilities:negative; accessibility:negative; atmosphere:negative; food:negative; crowd:negative; photo_spot:negative,7
Pantai Baru,Bibit Noorhan,5,"ngeseafood di buk sum mantep, masakannya josjisss lezatos...recommended.. untuk pantai nya htm 15k, parkir R4 10k, kondisi pantai u know lah...",,,positive,0.819,,,,,positive,0.819,,,,,positive,0.819,,,,,,,,,"facilities, accessibility, food",facilities:positive; accessibility:positive; food:positive,3
Pantai Kesirat,Dina Amalia Agustina,5,"Naik dikit dari Wohkudu, Tanjung Kesirat ini vibes-nya mirip Pengilon tapi aksesnya lebih gampang — cukup jalan sekitar 150 meter aja. Dari atas tebing, pemandangan lautnya keren banget, cocok buat sunset-an atau sekadar ngelamun ditemani angin laut. 🌊🌅 Tempat ini juga jadi salah satu spot camping favorit karena areanya luas dan tenang. Ada beberapa anjing liar, tapi nggak galak dan nggak ganggu. Warung di sini hampir nggak ada, jadi lebih aman bawa makanan sendiri, tapi jangan lupa sampahnya di",positive,0.903,,,positive,0.903,,,positive,0.903,positive,0.903,positive,0.903,positive,0.903,positive,0.903,,,positive,0.903,,,"cleanliness, price, accessibility, scenery, atmosphere, food, safety, photo_spot",cleanliness:positive; price:positive; accessibility:positive; scenery:positive; atmosphere:positive; food:positive; safety:positive; photo_spot:positive,8
Gumuk Pasir Parangkusumo,Ika Aja,5,"Hamparan pasir yang sangat luas , bisa mengelilingi dengan naik jeep , ada ayunan yang bisa buat foto² dan juga tanaman pinus ya , bisa buat prewedding , kalau sore bisa liat sunset sekalian berenang ke pantai karena dekat dengan pantai cemara sewu , buat foto kerenn cuman kalau siang sangat"" panas jadi disarankan untuk membawa payung",,,,,,,,,negative,0.639,negative,0.639,,,,,negative,0.639,,,negative,0.639,,,"accessibility, scenery, safety, photo_spot",accessibility:negative; scenery:negative; safety:negative; photo_spot:negative,4
Studio Alam Gamplong,Andara Derandra,4,"Parkir dan HTM seikhlasnya. Cuma untuk masuk tiap rumah kena HTM 10k. Masuk ke rumah yg habibi ainun sama yg sebelahnya.. Kesannya tangganya agak ngeri. Kayunya udah mulai lapuk. Ngga kokoh, berdecit.. Udah harus di ganti. Kalau wisata mungkin bisa beli tiket kereta aja. Buat foto2 cukup di luar udah Oke..",,,negative,0.774,negative,0.774,,,negative,0.774,,,,,,,,,,,negative,0.774,,,"facilities, price, accessibility, photo_spot",facilities:negative; price:negative; accessibility:negative; photo_spot:negative,4
Pantai Sundak,Widyas Tuti,2,Kayak maklar penginapan nyaaa bikin risih. Pasang tenda+parkir mobil 180rb.,,,negative,0.459,,,,,negative,0.459,,,,,,,,,,,,,,,"facilities, accessibility",facilities:negative; accessibility:negative,2
Makam Raja-Raja Imogiri,Aep Hendra,5,Alhamdulillah ga nyesel Gayy nongkrong di PALUM POINT & sdh mencoba makananya dng tempatnya yang antik pasti betaahhh...😘👍👍👍 …,,,,,,,,,,,,,,,positive,0.957,,,,,,,,,food,food:positive,1
Pantai Parangtritis,Yati Hamasa,5,"Dulu masih kecil yg namanya Parangtritis pasti kebayang pantai dgn ombak yg eksotis dan delman sambil duduk nikmati kelapa muda,sesekali berlarian mengejar ombak atau mandi dipinggir pantai , tpi sekarang ga lagi ditemui yg ada sekarang mobil Jeep dgn petualangan yg ekstrim tpi seru sih. Kakak(70th) sy aja berani ikut, 1 mobil Jeep Rp 300k untuk 4orang",,,,,,,,,,,,,,,,,negative,0.729,,,,,,,safety,safety:negative,1
