destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,safety_sentiment,safety_confidence,aspects_detected,aspect_sentiments,num_aspects
Pantai Kukup,M.Ridwan Karo,5,"Pantai ya bersih dan bagus. Apalagi jasa foto lokal hasilnya keren2 dan cakep2. Per fotonya murah Rp.5000, dan ini hasilnya.",negative,0.997,,,negative,0.987,,,,,,,negative,0.997,,,,,negative,0.997,,,,,"cleanliness, price, scenery, photo_spot",cleanliness:negative; price:negative; scenery:negative; photo_spot:negative,4
Pantai Kukup,Pak Teguh Gun,4,"Pantai Kukup area sangat dekat pantai mesra, jika d pake santai healing"" tipis sangat menyenangkan Warung"" menyediakan berbagai menu tersedia tinggal pilih sesuai selera saja",,,negative,0.927,negative,0.924,negative,0.983,negative,0.983,,,,,,,,,,,,,,,"accessibility, scenery, atmosphere, food",accessibility:negative; scenery:negative; atmosphere:negative; food:negative,4
Pantai Kukup,Ratu Nabila,5,"Nginep semalam di penginapan deket pantai kukup,niat hati ingin menikmati sunset di pagi hari sambil foto2 ehh dari tengah malem hujan deras sampai pagi😩😩tapi gak apa2 akh tetep happy😁😁pantai nya se cantik itu,enak buat bengong walau sambil hujan2 an😂😂",,,,,negative,0.99,,,negative,0.996,,,,,,,negative,0.992,,,,,,,"facilities, scenery, food",facilities:negative; scenery:negative; food:negative,3
Pantai Kukup,Moh Iqbal,5,Pantainya kecil dan sempit untuk orang dewasa cukup aman buat anak anak bermain...jajanan masih murah meriah..,,,,,,,,,,,,,,,,,,,negative,0.997,,,negative,0.997,"price, safety",price:negative; safety:negative,2
Pantai Kukup,Januarikey 92,5,"Cukup bagus..bersebelahan sama pantai mesra, tinggal masuk lewat jalur pantai dlm aja kalo ombak lagi ga tinggi..kesini Jumat jam 12nsiang..panase polll.. Org2 penjaga warung e baik2 tp jalanan ksni apalagi ikuti maps dr Malioboro, siap2 bikin jantung copot apalagi kendaraan kalo ga siap nanjak terus2an..wes alamat kuwi",,,positive,0.812,negative,0.982,,,negative,0.982,,,,,,,,,,,negative,0.973,negative,0.99,"service, accessibility, scenery, food, safety",service:negative; accessibility:positive; scenery:negative; food:negative; safety:negative,5
Pantai Kukup,wresti anggraini,5,"Pantainya cantik banget, ada penjaga pantainya juga karena ombaknya lumayan gede,. Trus bisa jalan ke Pantai Mesra juga, sering di sebut Tanah Lot nya gunung kidul karena batu karang yang ini mirip tanah lot yang di bali, bedanya ini dikasih jembatan 😆 Banyak tukang jualan seafood goreng,. Kesukaankuu.. Banyak warung, mushola dan toilet juga, Tempat parkir luas, jarak jalan dr tempat parkir ke pantai lumayan lah ya 150-200 meter,.",,,negative,0.987,negative,0.994,,,negative,0.911,,,,,,,negative,0.977,,,negative,0.997,,,"facilities, service, accessibility, scenery, food",facilities:negative; service:negative; accessibility:negative; scenery:negative; food:negative,5
Pantai Kukup,Keliem Liem_sshi,5,"Pertama kali kesini tahun 2020. Kembali lagi awal tahun 2023, dan kemarin awal 2025 main kesini lagi 😄. Tetap spt yg terdahulu, pantai ini cukup menawan dan bagus. Pantainya indah dan banyak lokasi yg nyaman utk menikmati hamparan ombak dan semilir angin. Kondisi para pedagang tertata rapi dan ada space utk para wisatawan tanpa harus berkunjung ke warung utk sekedar bersantai. Lokasi parkir juga nyaman, adem dan luas. Toilet sgt banyak dan kondisinya bersih, ini yg bikin nyaman tanpa takut mikir",negative,0.992,negative,0.991,negative,0.991,negative,0.996,negative,0.993,negative,0.997,,,,,negative,0.984,negative,0.985,,,negative,0.997,"cleanliness, facilities, price, accessibility, scenery, atmosphere, food, safety, crowd",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative,9
Pantai Kukup,Nina Naufray,5,"Pantai selalu asyik utk di kunjungi.. Klo ke sini, jangan lupa beli nasi bancaan bungkus daun jati... Maemnya di pinggir pantai sewa tikar cuma 25 rb. Dan jangan lupa sewa jip utk keliling pantai2 yg lain, karena bisa lebih suweru..",,,,,negative,0.981,,,,,,,,,,,,,negative,0.917,,,,,"price, scenery",price:negative; scenery:negative,2
Pantai Kukup,dyah Anggun,5,"Pantainya asik, ga terlalu rame. Enak aja. Dipinggir ada yg sewa karpet dg harga 25.000. Jalan kesana jg enak. Ga jauh2 dr gerbang retribusi (15.000/org). Parkir jg rindang, byk pohon. Cm jalan dr parkir agak jauh. Tapi ttp nyaman aja, krn jalan masuknya dikelilingi ruko2 jual souvenir,baju atau seafood. Mandi 5.000/org, lain2 3.000/org. Yg agak kecewa ga ada resto ikan segernya. Tp its okey sih. Overall bagus dan mau balik lagi",,,negative,0.997,negative,0.988,negative,0.986,negative,0.994,,,,,,,negative,0.996,negative,0.997,,,,,"facilities, price, accessibility, scenery, atmosphere, food",facilities:negative; price:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative,6
Pantai Kukup,Rosalia Indah,5,"Pantainya bersih, pemandangannya indah banget, kesana waktu siang sampai sore menjelang malam. Siang masih panas tapi buat foto² bagus bangeet, lautnya juga masih surut. Sore menjelang malam sunset deburan ombaknya makin kenceng viewnya makin cakep banget. Sukaaaaak ❤️",negative,0.995,,,negative,0.994,,,,,,,,,,,,,,,,,,,"cleanliness, scenery",cleanliness:negative; scenery:negative,2
Pantai Kukup,firawahyup,5,"lumayan ramai karena kesini waktu weekend juga, tempate bersih. harus jalan kaki dulu dari parkiran ke pantainya yg jaraknya lumayan juga. harga tiket masuk 15k tapi itu udah include masuk ke pantai-pantai lain juga. paling kalo pindah pantai cuma bayar parkir",negative,0.996,negative,0.996,negative,0.987,negative,0.995,,,negative,0.995,,,,,negative,0.884,negative,0.997,,,,,"cleanliness, facilities, price, accessibility, scenery, atmosphere, crowd",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; scenery:negative; atmosphere:negative; crowd:negative,7
Pantai Kukup,Vinza Syahva,5,"Pantai nya sangat cantik dan yang paling penting Aesthetic untuk foto, bersih, luas. Waktu saya kesana agak rame karena weekend, tetapi tidak mengurangi semangat saya untuk bermain di sana. Di Pantai Kukup banyak yang menjual makanan dan cemilan banyak pedagang kaki lima juga. Sangat asik bermain air di sana tapi waktu saya kesana ombaknya sedang agak besar jadi tetap berhati hati saat bermain air, mungkin kalau air pantai nya surut akan lebih asik lagi. Apalagi pemandangan nya yang sangat indah",negative,0.998,,,negative,0.997,,,negative,0.982,,,negative,0.981,,,,,,,,,,,"cleanliness, scenery, food, photo_spot",cleanliness:negative; scenery:negative; food:negative; photo_spot:negative,4
Pantai Kukup,Sandhy Sugijanto,5,"Pantai yang bersih, banyak pengunjungnya, ombak yang berdebur kencang, nuansa pagi matahari terbit sangat bagus sekali...",negative,0.997,,,negative,0.997,,,,,,,,,,,,,,,,,negative,0.997,"cleanliness, scenery, safety",cleanliness:negative; scenery:negative; safety:negative,3
Pantai Kukup,Khoirunisa Diah Pangesti,4,"Pantainya indah, pas datang ke sini lagi banyak pengunjung jadi rame. Bisa lihat view pantai dari atas juga. Bibir pantainya lumayan luas, selain itu di sini juga banyak toko seafood dan pakaian jadi yang mau sambil jajan juga bisa🦋 …",,,,,negative,0.998,,,negative,0.997,negative,0.998,,,,,,,,,,,,,"scenery, food, crowd",scenery:negative; food:negative; crowd:negative,3
Pantai Kukup,desy riyanto,5,"Akhirnya kesampean main ke pantai kukup. Sengaja nginep biar bisa main sepuasnya di pantai-pantai gunung kidul. Walaupun berangkat paginya mendung-gerimis sepanjang jalan, Alhamdulillah pas nyampe pas terang. Bayar retribusi 15k/person untuk segala pantai yang ada, anak kecil ga dihitung, ahhh murah banget! Retribusinya jelas kok, penting dan nyata hasilnya, jalanan jadi halus mulus tanpa hambatan. Parkiran luas, dekat dengan penginapan, berjarak sekitar 300m dari bibir pantainya jadi harus jala",negative,0.997,negative,0.995,negative,0.997,,,negative,0.997,,,negative,0.977,,,negative,0.993,negative,0.983,,,,,"cleanliness, facilities, price, accessibility, scenery, food, photo_spot",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; scenery:negative; food:negative; photo_spot:negative,7
Pantai Kukup,Sigit Wijanarko,5,Pemandangan pantai indah. Harga makanan relatif ramah di kantong.,,,,,negative,0.989,,,negative,0.996,,,,,,,,,negative,0.996,negative,0.996,,,"price, service, scenery, food",price:negative; service:negative; scenery:negative; food:negative,4
Pantai Kukup,Aditya Febrianto,5,"Pantainya bersih, harganya sangat masuk akal. Tapi untuk berenang harus naik kapal dulu. Saya ga tau harganya karna ga naik dan langsung pindah",negative,0.997,,,,,,,,,,,,,,,,,,,,,,,cleanliness,cleanliness:negative,1
Pantai Kukup,F S,5,"Pantai kukup menjadi tujuan utama kami krn pantai ini lengkap ada penginapan,tmpt makan yg enak dan jualan aneka macam lainnya Pantai nya cukup ramai, menyenangkan bisa untuk hunting binatang laut, jd anak2 happy, makanannya di area pantai kukup jg enak, bs ke rmh makan pak ji konco dw.. Makanannya enak2 n segar",,,,,negative,0.998,negative,0.998,negative,0.995,negative,0.998,,,,,negative,0.997,,,,,,,"facilities, scenery, atmosphere, food, crowd",facilities:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative,5
Pantai Kukup,Najwa Alifia Azzahrah,5,"Pantai yang bagus untuk dikunjungi, tempatnya lumayan bersih parkiran nya luas dan cocok dikunjungi saat ingin melihat sunset maupun senja",negative,0.998,,,negative,0.998,,,,,,,,,,,,,,,,,,,"cleanliness, scenery",cleanliness:negative; scenery:negative,2
Pantai Kukup,Javasaba Hana,5,"Pantai dengan ombak yang besar. Pasir putih membentang cocok untuk anak bermain pasir. sekitar 2 jam dari pusat kota Yogyakarta. Terletak di wilayah Gunung Kidul. Dengan jalan yang menantang. Disekitar pantai banyak pedagang berjualan hasil olahan ikan. Ada juga sewa tenda dan alas agar tidak terlalu terpapar matahari, hanya 25 ribu. Ada fotografer lokal per foto 5 ribu bebas memilih foto langsung dikirim ke HP dengan usb.",,,negative,0.974,negative,0.991,,,neutral,0.761,,,neutral,0.877,,,,,neutral,0.617,,,negative,0.99,"price, accessibility, scenery, food, safety, photo_spot",price:neutral; accessibility:negative; scenery:negative; food:neutral; safety:negative; photo_spot:neutral,6
Pantai Kukup,Esti Aristiana Sukmawati,4,"Alhamdulillaah kembali ke sini setelah 40 tahun lebih!!! 😁😁😁 Tetap cantik seperti dulu. Kemarin ke Kukup pas libur lebaran, pengunjung juga pas banyak. Pengelola dan para pelaku usaha di sini sudah berupaya menjaga kebersihan, tapi masih saja ada pengunjung yang nyampah sembarangan 😡.",,,,,negative,0.949,,,,,negative,0.96,,,,,,,,,,,,,"scenery, crowd",scenery:negative; crowd:negative,2
Pantai Kukup,egga 1493 (Ega),4,"Pantainya cukup bagus, pas dateng agak siangan jadi sudah rame pengunjung. dari pantai kukup juga bisa masuk ke pantai mesra, tinggal jalan aja lewat pinggir-pinggir pantainya",,,negative,0.998,negative,0.996,,,,,negative,0.998,,,,,,,,,,,,,"accessibility, scenery, crowd",accessibility:negative; scenery:negative; crowd:negative,3
Pantai Kukup,nicky minaj,5,"Salah satu Pantai favorite saya di gunung kidul, soalnya dari pantai ini bisa explore ke pantai sampingnya, pantai mesra sampai ke pantai baron. ada pulau kecil yg di sambung jembatan di sini, di sekitar pulau ini airnya dangkal, bisa buat berendam. di sekitar sini juga bagus buat poto2an.",,,,,negative,0.993,,,,,,,,,,,,,,,,,,,scenery,scenery:negative,1
Pantai Kukup,Wied Taslim,5,"Pantai di Gunung Kidul dengan pasir putih dan batu2 karang sungguh sangat memanjakan mata. Ombaknya yg cukup besar bikin suasana dramatik hehe.. tiap ada ambak gede petugas penjaga pantai selalu memperingatkan dengan peluit panjangnya. Di Pantai ini ada juga penginapan yg langsung menghadap Pantai, jadi kalo nginap nanti bisa puas main di pantai. Fasilitas lengkap, mushola, toilet, parkir yang luas waktu bayar 5.000 untuk mobil. Kalo mau kuliner seafood juga tersedia, aneka oleh2 olahan laut yan",,,negative,0.987,negative,0.951,negative,0.98,negative,0.985,,,,,,,negative,0.987,negative,0.988,negative,0.997,,,"facilities, price, service, accessibility, scenery, atmosphere, food",facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative,7
Pantai Kukup,Hendry Yunanto,4,"Setelah dari pantai mbuluk langsung ke pantai kukup. Tempatnya berdekatan, cukup bayar 1 tiket/org (15 rb) bisa masuk ke bbrp pantai. Qt ke pantai mbuluk, pantai Mesra dan pantai Kukup.",,,,,negative,0.84,,,,,,,,,,,,,negative,0.677,,,,,"price, scenery",price:negative; scenery:negative,2
Pantai Kukup,Agassi Gilang,5,"Tipe Pantai Laut Selatan yang ombaknya besar tapi tidak mengalahkan keindahannya. Ramah untuk pengunjung luar daerah. Banyak lokasi warung yang ada list harganya, kemudian harga oleh-oleh khas seperti udang goreng, cumi, minid crab dll cukup murah dan fresh digoreng saat itu juga. Pemandangan terbaik disini bisa dilihat dari pondok di atas bukit",,,negative,0.997,negative,0.996,,,negative,0.997,negative,0.997,,,,,,,negative,0.997,negative,0.992,,,"price, service, accessibility, scenery, food, crowd",price:negative; service:negative; accessibility:negative; scenery:negative; food:negative; crowd:negative,6
Pantai Kukup,Lina Marliyanti,5,"Salah satu pantai cantik yg ada d gunung kidul,,, hamparan pasir yg luas, bnyk warung2 yg menyediakan beraneka hiasan cantik dari cangkang kerang, ombaknya relatif aman",,,,,negative,0.984,,,,,,,,,,,,,,,,,negative,0.988,"scenery, safety",scenery:negative; safety:negative,2
Pantai Kukup,Ainun Najib,5,"Pantai yang cocok untuk wisata keluarga. Semua akomodasi tersedia di sana. Warung makan, kamar mandi umum, oleh-oleh, dan penginapan tersedia dengan rate yang bermacam-macam. Dari parkiran pun pantainya tidak terlalu jauh. Bisa melihat sunrise (kalau posisi mataharinya pas) dan sunset yang cantik. Must try beli udang gorengnya (tersedia di stal-stal penjual gorengan seafood) yang bisa dibeli curah/kiloan. Lalu makan di pinggir pantai. Asli enak banget. Apalagi kalau masih panas.",,,negative,0.92,negative,0.976,,,negative,0.969,,,,,,,negative,0.957,,,,,,,"facilities, accessibility, scenery, food",facilities:negative; accessibility:negative; scenery:negative; food:negative,4
Pantai Kukup,leni candra,5,"Pantai yg bersih, cukup ramai saat saya datang karena long weekend Banyak penjual yg sudah tertata, dan banyak akses fasilitas umum Banyak juga penginapan dan pantai yg tersambung satu dengan lainnya",negative,0.994,negative,0.994,negative,0.988,negative,0.994,,,negative,0.994,,,,,negative,0.977,,,,,,,"cleanliness, facilities, accessibility, scenery, atmosphere, crowd",cleanliness:negative; facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; crowd:negative,6
Pantai Kukup,Nur Huda,5,"bagus pantainya, cocok buat yang suka main air, disini juga disewakan tikar & payung di dekat pantai, banyak yang jualan makanan, oleh-oleh & aksesoris lainya. tempat parkir luas banget, cocok buat pergi rombongan, saran jangan dateng di hari libur atau hari minggu. lumayan rame, hari kerja mungkin lebih sepi. disini juga ada bisa naik ke atas tebing, jalanya lumyan bagus, tapi bagunan diatas tidak terawat.",negative,0.989,negative,0.994,negative,0.997,negative,0.996,negative,0.996,negative,0.996,,,,,negative,0.993,,,,,,,"cleanliness, facilities, accessibility, scenery, atmosphere, food, crowd",cleanliness:negative; facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative,7
Pantai Kukup,Muhammad Indra Krisyanto,5,"Pantainya bagus,bersih..bersebebelahan lsng dgn pantai Mesra (jd 1 lokasi) view nya memang juara pantai selatan,disekitaran sini juga banyak pantai2 lainnya yg tdk kalah indah viewnya. Anak2 bs menemukan banyak hewan laut, cuman klo main di bagian karang agak tengah sebaiknya memakai sandal/pelindung kaki karena banyak bulu babi disela2 karangnya. Dan kalau menginap disini saran aja persiapkan cemilan/makanan yang banyak untuk malam karena jauh dr alfa/indo dan resto disini kebanyakan jam 8 mala",negative,0.997,negative,0.986,negative,0.997,,,positive,0.67,,,,,,,,,,,,,,,"cleanliness, accessibility, scenery, food",cleanliness:negative; accessibility:negative; scenery:negative; food:positive,4
Pantai Kukup,asrini sari,5,Pantai terkenal di gunung kidul dan bersih karena para pemuda setempat ketika saya berkunjung sedang membersihkan pantai dari sampah. Ombaknya cukup besar namun masih aman bagi anak yang ingin bermain. Pantai Kukup memiliki pulau kecil yang bisa ditempuh dengan jalan setapak. Jika anda lapar banyak rumah makan yang menawarkan hidangan laut untuk mengganjal perut anda. Saat kami berkunjung matahari sedang tidak terik dan langit agak mendung sehingga kami betah bermain air di pinggir pantai. Sebai,negative,0.99,negative,0.989,negative,0.996,,,negative,0.996,negative,0.542,,,,,,,,,,,negative,0.974,"cleanliness, accessibility, scenery, food, safety, crowd",cleanliness:negative; accessibility:negative; scenery:negative; food:negative; safety:negative; crowd:negative,6
Agrowisata Bhumi Merapi,Irvan Aslam,4,"Tempat wisata daerah kaliurang, tempatnya bersih, terawat, sejuk. Untuk permainan mungkin cuma naik kuda dan beberapa permainan kecil dan harus bayar lagi untuk aksesnya. Spot foto mirip santorini lumayan besar, agak berputar tempatnya mirip labirin. Mini zoonya binatangnya terawat, dan sehat sehat. Tempat makan ada beberapa namun jgn berharap besar krn standar tdk ada yg istimewa. Tiket masuk masih terjangkau",negative,0.994,,,,,negative,0.996,negative,0.996,,,negative,0.997,,,,,negative,0.993,,,,,"cleanliness, price, atmosphere, food, photo_spot",cleanliness:negative; price:negative; atmosphere:negative; food:negative; photo_spot:negative,5
Agrowisata Bhumi Merapi,eka putri,5,"Recommended buat yang suka foto² aesthetic karena spot fotonya banyak😃 Ada mini zoo nya, pengunjung jg boleh foto sama pegang langsung hewan² di sana, gemesin pol!!! Cocok buat liburan bareng keluarga atau pasangan. Aku kmrin perginya sama adekku, lumayan jadi momen bonding kakak–adek di awal tahun, wkwk. Saran aja kalo dateng jngn siang banget. Aku kmrin kesana sekitar jam 10-an, panas pol😓, bikin kurang leluasa foto²nya karena buru² kepanasan. Jadi kurang eksplor 🥲",,,,,,,,,,,negative,0.991,negative,0.985,,,,,,,,,,,"crowd, photo_spot",crowd:negative; photo_spot:negative,2
Agrowisata Bhumi Merapi,Mas Fahmi,5,"Overall wisata keluarga di Bhumi Merapi menjadi salahsatu tempat yang iconik untuk dikunjungi, harga tiket masuknya tidak sampai 50 rb/org, anda sudah mendapatkan beragam wahana serta tempat spot foto yang instagramabel disini, di tmpt ini juga kamu bisa menikmati jajanan serta bermain kuda disini, untuk lokasi nya berapa di Jl. KALIURANG atas tidak jauh dari Cangkirngan. Selamat berlibur yaa guys",,,negative,0.946,,,,,,,,,negative,0.934,,,,,negative,0.988,,,negative,0.943,"price, accessibility, safety, photo_spot",price:negative; accessibility:negative; safety:negative; photo_spot:negative,4
Agrowisata Bhumi Merapi,mayala,5,"Parkiran luas, ada banyak pendopo untuk istirahat, ada mini zoo untuk edukasi anak2, bisa tangkap ikan, Kasihan makan kelinci dll, ada beberapa wahana berbayar juga, ada spot foto kaya di luar negeri",,,,,,,,,negative,0.551,,,neutral,0.573,,,,,,,,,,,"food, photo_spot",food:negative; photo_spot:neutral,2
Agrowisata Bhumi Merapi,Erlynmarlinaa,5,"Tempat nya bagus, menarik dan luas. Banyak banget spot untuk foto-foto. Ada yang jualan makanan dan minuman jadi nggak perlu khawatir lapar ataupun haus yaa.. harus di telusuri satu-satu karena menarik bangett. Rekomen sekali untuk liburan bersama keluarga yaaa 😍 nggak perlu khawatir tempat parkir luas , staf sangat informatif, ada toilet juga, mushola, dan tempat untuk bersantai. Tiket masuknya terjangkau yah (lupa harganya hihihi) . Selamat berkunjung ☺️",,,,,negative,0.962,,,negative,0.979,,,negative,0.978,,,negative,0.975,negative,0.844,,,negative,0.995,"facilities, price, scenery, food, safety, photo_spot",facilities:negative; price:negative; scenery:negative; food:negative; safety:negative; photo_spot:negative,6
Agrowisata Bhumi Merapi,Purwani Ramadhani Wulansari,5,"Pertama kali main kesini, dan tidak mengecewakan. HTM masuk 35.000\orang. Parkir berbayar. Disini ada mini zoonya, berbagai macam hewan ada disini, bisa untuk wahana belajar dan bermain anak-anak juga. Spot foto lumayan banyak dan bagus bagus. Sayangnya mulai banyak beberapa properti spot foto yang keropos, mulai pada lepas. Mungkin perlu peremajaan kembali biar makin cantik. Tempatnya lumayan luas juga. Area parkirnya teduh. Di dalam ada resto dan coffee shop juga kalau mau nyobain makan.",,,,,negative,0.995,negative,0.991,negative,0.995,,,positive,0.9,,,negative,0.98,negative,0.996,,,,,"facilities, price, scenery, atmosphere, food, photo_spot",facilities:negative; price:negative; scenery:negative; atmosphere:negative; food:negative; photo_spot:positive,6
Agrowisata Bhumi Merapi,Rikka Nur Indriana,5,"Seruu, ga berasa muter 2 jam lebih, itupun di akhir karna udah keburu hujan. Ada mini zoo buat dikit2 ngenalin hewan sama si bocil. Dan ga lupa ada spot estetik juga buat menuhin galeri si emak.",,,,,,,,,,,,,negative,0.98,,,,,,,,,,,photo_spot,photo_spot:negative,1
Agrowisata Bhumi Merapi,Vito Prayogo,5,"Tempat wisata edukasi untuk anak dan keluarga, banyak satwa dan spot foto yg baik. Tiket masuk 30rb/orang. Wahana ada yg berbayar dan anak di bawah 8th free di wahana",,,,,,,,,,,,,negative,0.757,,,,,negative,0.757,,,,,"price, photo_spot",price:negative; photo_spot:negative,2
Agrowisata Bhumi Merapi,khasanah uswatun,5,"Untuk.tiket masuknya cuma 30k/p, kirain tempatnya kecil ternyata luas banget sampe bingung nyari jalan keluarnya, banyak spot foto instagramable, aesthetic dan lucu². Awal masuk ada mini zoo yang hewannya sedikit tapi cukup menyenangkan untuk anak², bisa naik wahana berkuda 20k, dan ada kereta juga",,,negative,0.972,,,,,,,,,negative,0.906,,,,,positive,0.916,,,,,"price, accessibility, photo_spot",price:positive; accessibility:negative; photo_spot:negative,3
Agrowisata Bhumi Merapi,Tendy Austin Christian,5,"Kalau ada waktu kosong boleh juga dateng ke sini. Areanya luas, ada banyak tempat spot foto seperti area santorini. Selain itu ada kebun binatang kecilnya dengan berbagai macam hewan. Cocok buat bepergian bersama keluarga.",,,,,,,,,,,negative,0.996,negative,0.997,,,,,,,,,,,"crowd, photo_spot",crowd:negative; photo_spot:negative,2
Agrowisata Bhumi Merapi,Koko Trioko,5,"Datang kesini dihari Jum'at, dengan HTM 30k dan parkir 3k. Tempatnya lumayan luas dengan beberapa satwa yang terawat & spot foto nya. Petugas ramah, lingkungan sejuk nan asri, sangat tenang, pikiran jadi fresh kembali.",negative,0.995,,,,,negative,0.994,,,,,negative,0.991,,,negative,0.994,negative,0.994,negative,0.991,,,"cleanliness, facilities, price, service, atmosphere, photo_spot",cleanliness:negative; facilities:negative; price:negative; service:negative; atmosphere:negative; photo_spot:negative,6
Agrowisata Bhumi Merapi,Natalia Lee,5,"Tempat yang sangat menarik untuk dikunjungi segala usia. Udara sejuk dan suasana nyaman. Bangunan facade kota2 dunia cukup detail, sangat instagramable dan bagus untuk foto2. Sayangnya saat hujan agak susah berteduh. Koleksi hewan2 lucu disini juga cukup banyak. Cocok jadi media edukasi anak. Area Bhumi Merapi dilengkapi kantin yang cukup ramah untuk sekedar ngopi selepas berkeliling. Foto2 diambil saat hujan, suasana syahdu.",,,,,negative,0.996,negative,0.996,,,,,negative,0.995,,,,,,,negative,0.996,,,"service, scenery, atmosphere, photo_spot",service:negative; scenery:negative; atmosphere:negative; photo_spot:negative,4
Agrowisata Bhumi Merapi,Trisyllia Karina Putri,5,Baru kali ini ngerasa cape jalan2 karna banyak spot foto hahahah kirain spot foto doang ternyata ada mini zoo nya juga,,,,,,,,,,,,,positive,0.521,,,,,,,,,,,photo_spot,photo_spot:positive,1
Agrowisata Bhumi Merapi,Jonathan Fungsiwinata,5,"Tempat wisata yang kids friendly, banyak hewan-hewan disana ditambah banyak spot foto yg estetik. Better datang kesana di jam buka (sekitar jam 9) supaya tidak kepanasan.",,,,,,,,,,,,,negative,0.907,,,,,,,,,,,photo_spot,photo_spot:negative,1
Agrowisata Bhumi Merapi,Vitacham,5,Cantik banget foto disini dan ada mini zoo nya klo kesini jangan lupa beli makanan buat hewan-hewan disini ya tersedia di dalem kok pembeliannya 👌🏻🫰🏻,,,,,neutral,0.82,,,neutral,0.82,,,neutral,0.82,,,,,,,,,,,"scenery, food, photo_spot",scenery:neutral; food:neutral; photo_spot:neutral,3
Agrowisata Bhumi Merapi,Retno Juwita,5,"tempat yang cocok dikunjungi bareng keluarga. banyak hewan-hewan dan beberapa jg langka. bagi pecinta foto, ini surganya spot foto aesthetic 😁",,,,,,,,,,,,,negative,0.997,,,,,,,,,,,photo_spot,photo_spot:negative,1
Agrowisata Bhumi Merapi,Toni Rahadiyanto,5,"Menarik tempatnya.. cocok utk tempat main keluarga yg mempunyai anak kecil seusia s.d. SD. Tapi kalau yg sudah gede juga bisa karena ada spot foto2nya. Tiket masih terjangkau, 4 orang 140rebu kalo ga salah inget, CASH ONLY yaaa.. termasuk all pembayaran di dalam. Ada mini zoo, bisa petting dan ngasih makanan, area permainan (berbayar), juga spot foto tema dunia. Tempat makan juga ada, harga lebih mahal daripada di luar, but it's okay lahhh...",,,,,,,,,negative,0.851,,,negative,0.996,,,,,negative,0.528,,,,,"price, food, photo_spot",price:negative; food:negative; photo_spot:negative,3
Agrowisata Bhumi Merapi,Kiki Karismaningsih,5,"hewan lumayan banyak, lingkungan bersih bgt, petugas helpful, dan spot foto nggk cuma buat foto saja tp juga seru untuk dijelajahi jd nggk bikin bosen buat anak-anak. udah free naik kereta buat anak2 di bawah 10 thn. harga feeding animals dan riding hotse tergolong terjangkau👍",negative,0.957,,,,,,,,,,,negative,0.78,,,,,negative,0.994,positive,0.514,,,"cleanliness, price, service, photo_spot",cleanliness:negative; price:negative; service:positive; photo_spot:negative,4
Agrowisata Bhumi Merapi,Duwi Retno,5,"Tempatnya bagus buat foto foto, datang ke sini pas weekdays jadi agak sepi dan enak buat foto karna tidak banyak orang",,,,,negative,0.996,negative,0.996,negative,0.996,negative,0.996,negative,0.996,,,,,,,,,,,"scenery, atmosphere, food, crowd, photo_spot",scenery:negative; atmosphere:negative; food:negative; crowd:negative; photo_spot:negative,5
Agrowisata Bhumi Merapi,Ikhda Kartikasari,4,"Bhumi Merapi. Tempat wisata ramah anak, ada beberapa hewan seperti kelinci, ular, biawak, katak, alpaca, burung, ikan koi, dll. Harga tiket 30rb sudah bisa masuk spot foto Santorini. Untuk mainan lain bayar ditempat.",,,,,,,,,negative,0.826,,,negative,0.722,,,,,negative,0.784,negative,0.581,,,"price, service, food, photo_spot",price:negative; service:negative; food:negative; photo_spot:negative,4
Agrowisata Bhumi Merapi,indira java,5,"first time ke jogjaa lgsg ke wisataa inii, tempat nyaa bagus adaa hewan hewan juga😍 apalagi ke sini samaa pacar, tempatnyaa ademmm🫰🏻 …",,,,,negative,0.997,,,,,,,,,,,,,,,,,,,scenery,scenery:negative,1
Agrowisata Bhumi Merapi,Destia Ilmi,4,"Kedua kalinya kesini gatau sekarang kok agak kurang terawat dulu kesini masih bagus "" Aja Tiket masuknya 30 ribu banyak hewan"" Juga cocok buat keluarga gen z ortunya dapet spot foto yang instagramable anaknya juga dapet hiburan hewN hewan, buat makannya gak coba makan di dalem.",negative,0.995,,,negative,0.995,,,negative,0.857,,,negative,0.996,,,,,negative,0.987,,,,,"cleanliness, price, scenery, food, photo_spot",cleanliness:negative; price:negative; scenery:negative; food:negative; photo_spot:negative,5
