destination,username,stars,original_text,analysis_status,scenery_sentiment,scenery_evidence,cleanliness_sentiment,cleanliness_evidence,facilities_sentiment,facilities_evidence,price_sentiment,price_evidence,atmosphere_sentiment,atmosphere_evidence,historical_value_sentiment,historical_value_evidence,food_sentiment,food_evidence,photo_spot_sentiment,photo_spot_evidence,crowd_sentiment,crowd_evidence,service_sentiment,service_evidence,accessibility_sentiment,accessibility_evidence,safety_sentiment,safety_evidence,aspects_detected,aspect_sentiments,num_aspects,overall_sentiment
Pantai Kukup,Kemas Indra Wijaya,5,"Pantai Kukup adalah salah satu Destinasi wisata diGunungkidul yang ramai dikunjungi wisatawan lokal. Penampakannya sepintas hampir sama dengan Tanah Lot Bali. Bedanya kalau diPantai Kukup kita bisa menyeberangi Pulau kecil dengan melewati jembatan. Sedangkan diTanah Lot tidak ada jembatan nunggu air surut baru bisa kepulaunya. Pantai Kukup sangat eksotis sekali, pemandangan yang indah jadi betah berlama-lama disini. Banyak pedagang kaki lima yang berjualan makanan dan Pakaian serta oleh-oleh kha",success,positive,pemandangan yang indah,,,positive,banyak pedagang kaki lima yang berjualan makanan dan Pakaian serta oleh-oleh khas disana,,,,,,,,,,,,,positive,jasa foto lokal hasilnya keren2 dan cakep2,,,,,"scenery, facilities, service",scenery:positive; facilities:positive; service:positive,3,positive
Pantai Kukup,M.Ridwan Karo,5,"Pantai ya bersih dan bagus. Apalagi jasa foto lokal hasilnya keren2 dan cakep2. Per fotonya murah Rp.5000, dan ini hasilnya.",success,,,positive,Pantai ya bersih dan bagus,,,,,,,,,,,,,,,positive,jasa foto lokal hasilnya keren2 dan cakep2,,,,,"cleanliness, service",cleanliness:positive; service:positive,2,positive
Pantai Kukup,Pak Teguh Gun,4,"Pantai Kukup area sangat dekat pantai mesra, jika d pake santai healing"" tipis sangat menyenangkan Warung"" menyediakan berbagai menu tersedia tinggal pilih sesuai selera saja",success,,,,,,,,,,,,,,,,,,,,,,,,,,,0,neutral
Pantai Kukup,Ratu Nabila,5,"Nginep semalam di penginapan deket pantai kukup,niat hati ingin menikmati sunset di pagi hari sambil foto2 ehh dari tengah malem hujan deras sampai pagi😩😩tapi gak apa2 akh tetep happy😁😁pantai nya se cantik itu,enak buat bengong walau sambil hujan2 an😂😂",success,positive,cantik,positive,bersih,positive,lengkap,positive,worth it,positive,kagum,,,,,,,,,,,,,,,"atmosphere, cleanliness, facilities, price, scenery",atmosphere:positive; cleanliness:positive; facilities:positive; price:positive; scenery:positive,5,positive
Pantai Kukup,Moh Iqbal,5,Pantainya kecil dan sempit untuk orang dewasa cukup aman buat anak anak bermain...jajanan masih murah meriah..,success,positive,bagus,,,,,,,,,,,positive,murah meriah,,,positive,aman,,,,,,,"scenery, crowd, food",scenery:positive; crowd:positive; food:positive,3,positive
Pantai Kukup,Januarikey 92,5,"Cukup bagus..bersebelahan sama pantai mesra, tinggal masuk lewat jalur pantai dlm aja kalo ombak lagi ga tinggi..kesini Jumat jam 12nsiang..panase polll.. Org2 penjaga warung e baik2 tp jalanan ksni apalagi ikuti maps dr Malioboro, siap2 bikin jantung copot apalagi kendaraan kalo ga siap nanjak terus2an..wes alamat kuwi",success,positive,cantik,positive,bersih,positive,luas,positive,terjangkau,,,,,positive,umum,,,,,positive,baik,positive,mudah,,,"scenery, facilities, price, service, cleanliness, accessibility, food",scenery:positive; facilities:positive; price:positive; service:positive; cleanliness:positive; accessibility:positive; food:positive,7,positive
Pantai Kukup,wresti anggraini,5,"Pantainya cantik banget, ada penjaga pantainya juga karena ombaknya lumayan gede,. Trus bisa jalan ke Pantai Mesra juga, sering di sebut Tanah Lot nya gunung kidul karena batu karang yang ini mirip tanah lot yang di bali, bedanya ini dikasih jembatan 😆 Banyak tukang jualan seafood goreng,. Kesukaankuu.. Banyak warung, mushola dan toilet juga, Tempat parkir luas, jarak jalan dr tempat parkir ke pantai lumayan lah ya 150-200 meter,.",success,positive,cantik banget,positive,bersih,positive,luas,positive,terjangkau,,,,,positive,umum,positive,nyaman,positive,ramai,positive,baik,positive,mudah,,,"scenery, facilities, price, service, cleanliness, accessibility, food, crowd, photo_spot",scenery:positive; facilities:positive; price:positive; service:positive; cleanliness:positive; accessibility:positive; food:positive; crowd:positive; photo_spot:positive,9,positive
Pantai Kukup,Keliem Liem_sshi,5,"Pertama kali kesini tahun 2020. Kembali lagi awal tahun 2023, dan kemarin awal 2025 main kesini lagi 😄. Tetap spt yg terdahulu, pantai ini cukup menawan dan bagus. Pantainya indah dan banyak lokasi yg nyaman utk menikmati hamparan ombak dan semilir angin. Kondisi para pedagang tertata rapi dan ada space utk para wisatawan tanpa harus berkunjung ke warung utk sekedar bersantai. Lokasi parkir juga nyaman, adem dan luas. Toilet sgt banyak dan kondisinya bersih, ini yg bikin nyaman tanpa takut mikir",success,positive,menawan,positive,bersih,positive,rapi,positive,terjangkau,,,,,positive,umum,positive,nyaman,positive,ramai,positive,baik,positive,mudah,,,"scenery, facilities, price, service, cleanliness, accessibility, food, crowd, photo_spot",scenery:positive; facilities:positive; price:positive; service:positive; cleanliness:positive; accessibility:positive; food:positive; crowd:positive; photo_spot:positive,9,positive
Pantai Kukup,Nina Naufray,5,"Pantai selalu asyik utk di kunjungi.. Klo ke sini, jangan lupa beli nasi bancaan bungkus daun jati... Maemnya di pinggir pantai sewa tikar cuma 25 rb. Dan jangan lupa sewa jip utk keliling pantai2 yg lain, karena bisa lebih suweru..",success,positive,asyik,,,positive,nyaman,positive,terjangkau,,,,,positive,murah,,,,,,,,,,,"scenery, food, facilities, price",scenery:positive; food:positive; facilities:positive; price:positive,4,positive
Pantai Kukup,dyah Anggun,5,"Pantainya asik, ga terlalu rame. Enak aja. Dipinggir ada yg sewa karpet dg harga 25.000. Jalan kesana jg enak. Ga jauh2 dr gerbang retribusi (15.000/org). Parkir jg rindang, byk pohon. Cm jalan dr parkir agak jauh. Tapi ttp nyaman aja, krn jalan masuknya dikelilingi ruko2 jual souvenir,baju atau seafood. Mandi 5.000/org, lain2 3.000/org. Yg agak kecewa ga ada resto ikan segernya. Tp its okey sih. Overall bagus dan mau balik lagi",success,positive,asik,,,positive,nyaman,positive,terjangkau,,,,,,,positive,nyaman,positive,ramai,positive,baik,,,,,"scenery, facilities, price, service, crowd, photo_spot",scenery:positive; facilities:positive; price:positive; service:positive; crowd:positive; photo_spot:positive,6,positive
Pantai Kukup,Rosalia Indah,5,"Pantainya bersih, pemandangannya indah banget, kesana waktu siang sampai sore menjelang malam. Siang masih panas tapi buat foto² bagus bangeet, lautnya juga masih surut. Sore menjelang malam sunset deburan ombaknya makin kenceng viewnya makin cakep banget. Sukaaaaak ❤️",success,positive,indah banget,positive,bersih,,,positive,terjangkau,,,,,,,,,,,,,,,,,"scenery, cleanliness, price",scenery:positive; cleanliness:positive; price:positive,3,positive
Pantai Kukup,firawahyup,5,"lumayan ramai karena kesini waktu weekend juga, tempate bersih. harus jalan kaki dulu dari parkiran ke pantainya yg jaraknya lumayan juga. harga tiket masuk 15k tapi itu udah include masuk ke pantai-pantai lain juga. paling kalo pindah pantai cuma bayar parkir",success,positive,bersih,,,positive,luas,positive,terjangkau,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:positive,3,positive
Pantai Kukup,Vinza Syahva,5,"Pantai nya sangat cantik dan yang paling penting Aesthetic untuk foto, bersih, luas. Waktu saya kesana agak rame karena weekend, tetapi tidak mengurangi semangat saya untuk bermain di sana. Di Pantai Kukup banyak yang menjual makanan dan cemilan banyak pedagang kaki lima juga. Sangat asik bermain air di sana tapi waktu saya kesana ombaknya sedang agak besar jadi tetap berhati hati saat bermain air, mungkin kalau air pantai nya surut akan lebih asik lagi. Apalagi pemandangan nya yang sangat indah",success,positive,cantik,positive,bersih,positive,luas,positive,terjangkau,,,,,positive,umum,positive,nyaman,positive,ramai,positive,baik,positive,mudah,,,"scenery, facilities, price, service, cleanliness, accessibility, food, crowd, photo_spot",scenery:positive; facilities:positive; price:positive; service:positive; cleanliness:positive; accessibility:positive; food:positive; crowd:positive; photo_spot:positive,9,positive
Pantai Kukup,Sandhy Sugijanto,5,"Pantai yang bersih, banyak pengunjungnya, ombak yang berdebur kencang, nuansa pagi matahari terbit sangat bagus sekali...",success,positive,"bersih, banyak pengunjungnya, ombak yang berdebur kencang, nuansa pagi matahari terbit sangat bagus ",,,,,,,,,,,,,,,positive,banyak pengunjungnya,,,,,,,"scenery, crowd",scenery:positive; crowd:positive,2,positive
Pantai Kukup,Khoirunisa Diah Pangesti,4,"Pantainya indah, pas datang ke sini lagi banyak pengunjung jadi rame. Bisa lihat view pantai dari atas juga. Bibir pantainya lumayan luas, selain itu di sini juga banyak toko seafood dan pakaian jadi yang mau sambil jajan juga bisa🦋 …",success,positive,indah,,,,,,,,,,,,,,,negative,banyak pengunjung jadi rame,,,neutral,bisa lihat view pantai dari atas,,,"scenery, crowd, accessibility",scenery:positive; crowd:negative; accessibility:neutral,3,mixed
Pantai Kukup,desy riyanto,5,"Akhirnya kesampean main ke pantai kukup. Sengaja nginep biar bisa main sepuasnya di pantai-pantai gunung kidul. Walaupun berangkat paginya mendung-gerimis sepanjang jalan, Alhamdulillah pas nyampe pas terang. Bayar retribusi 15k/person untuk segala pantai yang ada, anak kecil ga dihitung, ahhh murah banget! Retribusinya jelas kok, penting dan nyata hasilnya, jalanan jadi halus mulus tanpa hambatan. Parkiran luas, dekat dengan penginapan, berjarak sekitar 300m dari bibir pantainya jadi harus jala",success,positive,masuk ke pantai dan wowww emang cantik!,,,positive,"parkiran luas, dekat dengan penginapan, berjarak sekitar 300m dari bibir pantainya",positive,murah banget,,,,,,,,,,,positive,bapak/ibu yang nyewain tikar dan mas-mas fotografer yang sigap membantu mengabadikan,,,,,"price, facilities, service, scenery",price:positive; facilities:positive; service:positive; scenery:positive,4,positive
Pantai Kukup,Sigit Wijanarko,5,Pemandangan pantai indah. Harga makanan relatif ramah di kantong.,success,positive,pemandangan pantai indah,,,,,positive,harga makanan relatif ramah di kantong,,,,,,,,,,,,,,,,,"scenery, price",scenery:positive; price:positive,2,positive
Pantai Kukup,Aditya Febrianto,5,"Pantainya bersih, harganya sangat masuk akal. Tapi untuk berenang harus naik kapal dulu. Saya ga tau harganya karna ga naik dan langsung pindah",success,positive,pantainya bersih,,,,,positive,harganya sangat masuk akal,,,,,,,,,,,,,negative,untuk berenang harus naik kapal dulu,,,"scenery, price, accessibility",scenery:positive; price:positive; accessibility:negative,3,positive
Pantai Kukup,F S,5,"Pantai kukup menjadi tujuan utama kami krn pantai ini lengkap ada penginapan,tmpt makan yg enak dan jualan aneka macam lainnya Pantai nya cukup ramai, menyenangkan bisa untuk hunting binatang laut, jd anak2 happy, makanannya di area pantai kukup jg enak, bs ke rmh makan pak ji konco dw.. Makanannya enak2 n segar",success,,,,,positive,"pantai ini lengkap ada penginapan,tmpt makan yg enak dan jualan aneka macam lainnya",,,,,,,positive,"makanannya di area pantai kukup jg enak, bs ke rmh makan pak ji konco dw.. Makanannya enak2 n segar",,,positive,"pantai nya cukup ramai, menyenangkan bisa untuk hunting binatang laut",,,,,,,"facilities, crowd, food",facilities:positive; crowd:positive; food:positive,3,positive
Pantai Kukup,Najwa Alifia Azzahrah,5,"Pantai yang bagus untuk dikunjungi, tempatnya lumayan bersih parkiran nya luas dan cocok dikunjungi saat ingin melihat sunset maupun senja",success,positive,pantai yang bagus untuk dikunjungi,positive,tempatnya lumayan bersih,positive,parkiran nya luas,,,,,,,,,,,,,,,,,,,"scenery, cleanliness, facilities",scenery:positive; cleanliness:positive; facilities:positive,3,positive
Pantai Kukup,Javasaba Hana,5,"Pantai dengan ombak yang besar. Pasir putih membentang cocok untuk anak bermain pasir. sekitar 2 jam dari pusat kota Yogyakarta. Terletak di wilayah Gunung Kidul. Dengan jalan yang menantang. Disekitar pantai banyak pedagang berjualan hasil olahan ikan. Ada juga sewa tenda dan alas agar tidak terlalu terpapar matahari, hanya 25 ribu. Ada fotografer lokal per foto 5 ribu bebas memilih foto langsung dikirim ke HP dengan usb.",success,positive,pantai dengan ombak yang besar,positive,pasir putih membentang cocok untuk anak bermain pasir,,,,,,,,,,,,,,,,,negative,"sekitar 2 jam dari pusat kota Yogyakarta, dengan jalan yang menantang",,,"scenery, cleanliness, accessibility",scenery:positive; cleanliness:positive; accessibility:negative,3,positive
Pantai Kukup,Esti Aristiana Sukmawati,4,"Alhamdulillaah kembali ke sini setelah 40 tahun lebih!!! 😁😁😁 Tetap cantik seperti dulu. Kemarin ke Kukup pas libur lebaran, pengunjung juga pas banyak. Pengelola dan para pelaku usaha di sini sudah berupaya menjaga kebersihan, tapi masih saja ada pengunjung yang nyampah sembarangan 😡.",success,positive,tetap cantik seperti dulu,negative,masih saja ada pengunjung yang nyampah sembarangan,,,,,,,,,,,,,positive,pengunjung juga pas banyak,,,,,,,"scenery, crowd, cleanliness",scenery:positive; crowd:positive; cleanliness:negative,3,mixed
Pantai Kukup,egga 1493 (Ega),4,"Pantainya cukup bagus, pas dateng agak siangan jadi sudah rame pengunjung. dari pantai kukup juga bisa masuk ke pantai mesra, tinggal jalan aja lewat pinggir-pinggir pantainya",success,positive,pantainya cukup bagus,,,,,,,,,,,,,,,positive,pas dateng agak siangan jadi sudah rame pengunjung,,,neutral,"dari pantai kukup juga bisa masuk ke pantai mesra, tinggal jalan aja lewat pinggir-pinggir pantainya",,,"scenery, crowd, accessibility",scenery:positive; crowd:positive; accessibility:neutral,3,positive
Pantai Kukup,nicky minaj,5,"Salah satu Pantai favorite saya di gunung kidul, soalnya dari pantai ini bisa explore ke pantai sampingnya, pantai mesra sampai ke pantai baron. ada pulau kecil yg di sambung jembatan di sini, di sekitar pulau ini airnya dangkal, bisa buat berendam. di sekitar sini juga bagus buat poto2an.",success,positive,hamparan pasir yg luas,,,positive,bnyk warung2 yg menyediakan beraneka hiasan cantik dari cangkang kerang,positive,harganya cukup murah,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:positive,3,positive
Pantai Kukup,Wied Taslim,5,"Pantai di Gunung Kidul dengan pasir putih dan batu2 karang sungguh sangat memanjakan mata. Ombaknya yg cukup besar bikin suasana dramatik hehe.. tiap ada ambak gede petugas penjaga pantai selalu memperingatkan dengan peluit panjangnya. Di Pantai ini ada juga penginapan yg langsung menghadap Pantai, jadi kalo nginap nanti bisa puas main di pantai. Fasilitas lengkap, mushola, toilet, parkir yang luas waktu bayar 5.000 untuk mobil. Kalo mau kuliner seafood juga tersedia, aneka oleh2 olahan laut yan",success,positive,Pantai di Gunung Kidul dengan pasir putih dan batu2 karang sungguh sangat memanjakan mata,,,positive,"Fasilitas lengkap, mushola, toilet, parkir yang luas waktu bayar 5.000 untuk mobil",positive,"harga oleh-oleh khas seperti udang goreng, cumi, minid crab dll cukup murah",,,,,positive,"aneka oleh2 olahan laut yang unik juga ada, misal undur2 laut goreng",,,,,,,,,,,"scenery, facilities, food, price",scenery:positive; facilities:positive; food:positive; price:positive,4,positive
Pantai Kukup,Hendry Yunanto,4,"Setelah dari pantai mbuluk langsung ke pantai kukup. Tempatnya berdekatan, cukup bayar 1 tiket/org (15 rb) bisa masuk ke bbrp pantai. Qt ke pantai mbuluk, pantai Mesra dan pantai Kukup.",success,,,,,,,,,,,,,,,,,,,,,positive,"Tempatnya berdekatan, cukup bayar 1 tiket/org (15 rb) bisa masuk ke bbrp pantai",,,accessibility,accessibility:positive,1,positive
Pantai Kukup,Agassi Gilang,5,"Tipe Pantai Laut Selatan yang ombaknya besar tapi tidak mengalahkan keindahannya. Ramah untuk pengunjung luar daerah. Banyak lokasi warung yang ada list harganya, kemudian harga oleh-oleh khas seperti udang goreng, cumi, minid crab dll cukup murah dan fresh digoreng saat itu juga. Pemandangan terbaik disini bisa dilihat dari pondok di atas bukit",success,positive,Tipe Pantai Laut Selatan yang ombaknya besar tapi tidak mengalahkan keindahannya,,,,,,,,,,,positive,"Banyak lokasi warung yang ada list harganya, kemudian harga oleh-oleh khas seperti udang goreng, cum",,,,,positive,Ramah untuk pengunjung luar daerah,,,,,"scenery, service, food",scenery:positive; service:positive; food:positive,3,positive
Pantai Kukup,Lina Marliyanti,5,"Salah satu pantai cantik yg ada d gunung kidul,,, hamparan pasir yg luas, bnyk warung2 yg menyediakan beraneka hiasan cantik dari cangkang kerang, ombaknya relatif aman",success,positive,hamparan pasir yg luas,,,positive,bnyk warung2 yg menyediakan beraneka hiasan cantik dari cangkang kerang,positive,harganya cukup murah,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:positive,3,positive
Pantai Kukup,Ainun Najib,5,"Pantai yang cocok untuk wisata keluarga. Semua akomodasi tersedia di sana. Warung makan, kamar mandi umum, oleh-oleh, dan penginapan tersedia dengan rate yang bermacam-macam. Dari parkiran pun pantainya tidak terlalu jauh. Bisa melihat sunrise (kalau posisi mataharinya pas) dan sunset yang cantik. Must try beli udang gorengnya (tersedia di stal-stal penjual gorengan seafood) yang bisa dibeli curah/kiloan. Lalu makan di pinggir pantai. Asli enak banget. Apalagi kalau masih panas.",success,positive,Bisa melihat sunrise (kalau posisi mataharinya pas) dan sunset yang cantik,,,positive,Semua akomodasi tersedia di sana,positive,rate yang bermacam-macam,,,,,positive,Must try beli udang gorengnya (tersedia di stal-stal penjual gorengan seafood) yang bisa dibeli cura,,,,,,,,,,,"facilities, food, price, scenery",facilities:positive; food:positive; price:positive; scenery:positive,4,positive
Pantai Kukup,leni candra,5,"Pantai yg bersih, cukup ramai saat saya datang karena long weekend Banyak penjual yg sudah tertata, dan banyak akses fasilitas umum Banyak juga penginapan dan pantai yg tersambung satu dengan lainnya",success,positive,Pantai yg bersih,,,positive,"Banyak penjual yg sudah tertata, dan banyak akses fasilitas umum",positive,tempat parkir luas banget,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:positive,3,positive
Pantai Kukup,Nur Huda,5,"bagus pantainya, cocok buat yang suka main air, disini juga disewakan tikar & payung di dekat pantai, banyak yang jualan makanan, oleh-oleh & aksesoris lainya. tempat parkir luas banget, cocok buat pergi rombongan, saran jangan dateng di hari libur atau hari minggu. lumayan rame, hari kerja mungkin lebih sepi. disini juga ada bisa naik ke atas tebing, jalanya lumyan bagus, tapi bagunan diatas tidak terawat.",success,positive,bagus pantainya,,,positive,"disini juga disewakan tikar & payung di dekat pantai, banyak yang jualan makanan, oleh-oleh & akseso",positive,tempat parkir luas banget,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:positive,3,positive
Pantai Kukup,Muhammad Indra Krisyanto,5,"Pantainya bagus,bersih..bersebebelahan lsng dgn pantai Mesra (jd 1 lokasi) view nya memang juara pantai selatan,disekitaran sini juga banyak pantai2 lainnya yg tdk kalah indah viewnya. Anak2 bs menemukan banyak hewan laut, cuman klo main di bagian karang agak tengah sebaiknya memakai sandal/pelindung kaki karena banyak bulu babi disela2 karangnya. Dan kalau menginap disini saran aja persiapkan cemilan/makanan yang banyak untuk malam karena jauh dr alfa/indo dan resto disini kebanyakan jam 8 mala",success,positive,"Pantainya bagus,bersih..bersebebelahan lsng dgn pantai Mesra (jd 1 lokasi) view nya memang juara pan",,,positive,Anak2 bs menemukan banyak hewan laut,negative,Dan kalau menginap disini saran aja persiapkan cemilan/makanan yang banyak untuk malam karena jauh d,,,,,,,,,,,,,,,,,"scenery, facilities, price",scenery:positive; facilities:positive; price:negative,3,positive
Pantai Kukup,asrini sari,5,Pantai terkenal di gunung kidul dan bersih karena para pemuda setempat ketika saya berkunjung sedang membersihkan pantai dari sampah. Ombaknya cukup besar namun masih aman bagi anak yang ingin bermain. Pantai Kukup memiliki pulau kecil yang bisa ditempuh dengan jalan setapak. Jika anda lapar banyak rumah makan yang menawarkan hidangan laut untuk mengganjal perut anda. Saat kami berkunjung matahari sedang tidak terik dan langit agak mendung sehingga kami betah bermain air di pinggir pantai. Sebai,success,positive,Pantai terkenal di gunung kidul dan bersih karena para pemuda setempat ketika saya berkunjung sedang,,,positive,Pantai Kukup memiliki pulau kecil yang bisa ditempuh dengan jalan setapak,positive,Saat kami berkunjung matahari sedang tidak terik dan langit agak mendung sehingga kami betah bermain,,,,,positive,Jika anda lapar banyak rumah makan yang menawarkan hidangan laut untuk mengganjal perut anda,,,,,,,,,,,"scenery, facilities, food, price",scenery:positive; facilities:positive; food:positive; price:positive,4,positive
Agrowisata Bhumi Merapi,Irvan Aslam,4,"Tempat wisata daerah kaliurang, tempatnya bersih, terawat, sejuk. Untuk permainan mungkin cuma naik kuda dan beberapa permainan kecil dan harus bayar lagi untuk aksesnya. Spot foto mirip santorini lumayan besar, agak berputar tempatnya mirip labirin. Mini zoonya binatangnya terawat, dan sehat sehat. Tempat makan ada beberapa namun jgn berharap besar krn standar tdk ada yg istimewa. Tiket masuk masih terjangkau",success,positive,"terawat, sejuk",positive,"bersih, terawat",positive,lengkap,positive,terjangkau,,,,,neutral,tidak ada yg istimewa,,,,,,,neutral,tidak ada,,,"scenery, cleanliness, facilities, price, food, accessibility",scenery:positive; cleanliness:positive; facilities:positive; price:positive; food:neutral; accessibility:neutral,6,positive
Agrowisata Bhumi Merapi,eka putri,5,"Recommended buat yang suka foto² aesthetic karena spot fotonya banyak😃 Ada mini zoo nya, pengunjung jg boleh foto sama pegang langsung hewan² di sana, gemesin pol!!! Cocok buat liburan bareng keluarga atau pasangan. Aku kmrin perginya sama adekku, lumayan jadi momen bonding kakak–adek di awal tahun, wkwk. Saran aja kalo dateng jngn siang banget. Aku kmrin kesana sekitar jam 10-an, panas pol😓, bikin kurang leluasa foto²nya karena buru² kepanasan. Jadi kurang eksplor 🥲",success,positive,"recommended, spot fotonya banyak",,,positive,banyak,positive,terjangkau,negative,kurang leluasa,,,,,,,negative,panas pol,positive,ramah,,,,,"scenery, service, facilities, price, crowd, atmosphere",scenery:positive; service:positive; facilities:positive; price:positive; crowd:negative; atmosphere:negative,6,positive
Agrowisata Bhumi Merapi,Mas Fahmi,5,"Overall wisata keluarga di Bhumi Merapi menjadi salahsatu tempat yang iconik untuk dikunjungi, harga tiket masuknya tidak sampai 50 rb/org, anda sudah mendapatkan beragam wahana serta tempat spot foto yang instagramabel disini, di tmpt ini juga kamu bisa menikmati jajanan serta bermain kuda disini, untuk lokasi nya berapa di Jl. KALIURANG atas tidak jauh dari Cangkirngan. Selamat berlibur yaa guys",success,positive,instagramabel,,,positive,beragam wahana,positive,tidak sampai 50 rb/org,,,,,positive,jajanan,,,,,,,positive,tidak jauh,,,"price, facilities, scenery, food, accessibility",price:positive; facilities:positive; scenery:positive; food:positive; accessibility:positive,5,positive
Agrowisata Bhumi Merapi,mayala,5,"Parkiran luas, ada banyak pendopo untuk istirahat, ada mini zoo untuk edukasi anak2, bisa tangkap ikan, Kasihan makan kelinci dll, ada beberapa wahana berbayar juga, ada spot foto kaya di luar negeri",success,positive,"bagus, menarik, luas",,,positive,banyak,positive,terjangkau,,,,,positive,jangan perlu khawatir lapar ataupun haus,,,,,positive,staf sangat informatif,positive,parkir luas,,,"facilities, scenery, food, price, service, accessibility",facilities:positive; scenery:positive; food:positive; price:positive; service:positive; accessibility:positive,6,positive
Agrowisata Bhumi Merapi,Erlynmarlinaa,5,"Tempat nya bagus, menarik dan luas. Banyak banget spot untuk foto-foto. Ada yang jualan makanan dan minuman jadi nggak perlu khawatir lapar ataupun haus yaa.. harus di telusuri satu-satu karena menarik bangett. Rekomen sekali untuk liburan bersama keluarga yaaa 😍 nggak perlu khawatir tempat parkir luas , staf sangat informatif, ada toilet juga, mushola, dan tempat untuk bersantai. Tiket masuknya terjangkau yah (lupa harganya hihihi) . Selamat berkunjung ☺️",success,positive,"bagus, menarik, luas",,,positive,banyak,positive,terjangkau,,,,,positive,tidak perlu khawatir lapar ataupun haus,,,,,positive,staf sangat informatif,positive,parkir luas,,,"scenery, facilities, food, price, service, accessibility",scenery:positive; facilities:positive; food:positive; price:positive; service:positive; accessibility:positive,6,positive
Agrowisata Bhumi Merapi,Purwani Ramadhani Wulansari,5,"Pertama kali main kesini, dan tidak mengecewakan. HTM masuk 35.000\orang. Parkir berbayar. Disini ada mini zoonya, berbagai macam hewan ada disini, bisa untuk wahana belajar dan bermain anak-anak juga. Spot foto lumayan banyak dan bagus bagus. Sayangnya mulai banyak beberapa properti spot foto yang keropos, mulai pada lepas. Mungkin perlu peremajaan kembali biar makin cantik. Tempatnya lumayan luas juga. Area parkirnya teduh. Di dalam ada resto dan coffee shop juga kalau mau nyobain makan.",success,positive,bagus bagus,,,positive,banyak,positive,terjangkau,,,negative,keropos,positive,resto dan coffee shop,,,,,,,positive,area parkirnya teduh,,,"scenery, facilities, price, food, accessibility, historical_value",scenery:positive; facilities:positive; price:positive; food:positive; accessibility:positive; historical_value:negative,6,positive
Agrowisata Bhumi Merapi,Rikka Nur Indriana,5,"Seruu, ga berasa muter 2 jam lebih, itupun di akhir karna udah keburu hujan. Ada mini zoo buat dikit2 ngenalin hewan sama si bocil. Dan ga lupa ada spot estetik juga buat menuhin galeri si emak.",success,positive,estetik,,,positive,banyak,positive,terjangkau,,,,,,,,,,,positive,ramah,,,,,"scenery, facilities, price, service",scenery:positive; facilities:positive; price:positive; service:positive,4,positive
Agrowisata Bhumi Merapi,Vito Prayogo,5,"Tempat wisata edukasi untuk anak dan keluarga, banyak satwa dan spot foto yg baik. Tiket masuk 30rb/orang. Wahana ada yg berbayar dan anak di bawah 8th free di wahana",success,positive,banyak satwa dan spot foto yg baik,,,positive,banyak,positive,terjangkau,,,,,,,,,,,positive,ramah,,,,,"scenery, facilities, price, service",scenery:positive; facilities:positive; price:positive; service:positive,4,positive
Agrowisata Bhumi Merapi,khasanah uswatun,5,"Untuk.tiket masuknya cuma 30k/p, kirain tempatnya kecil ternyata luas banget sampe bingung nyari jalan keluarnya, banyak spot foto instagramable, aesthetic dan lucu². Awal masuk ada mini zoo yang hewannya sedikit tapi cukup menyenangkan untuk anak², bisa naik wahana berkuda 20k, dan ada kereta juga",success,positive,banyak banget spot untuk foto-foto,,,positive,banyak,positive,terjangkau,,,,,,,,,,,positive,ramah,,,,,"scenery, facilities, price, service",scenery:positive; facilities:positive; price:positive; service:positive,4,positive
Agrowisata Bhumi Merapi,Tendy Austin Christian,5,"Kalau ada waktu kosong boleh juga dateng ke sini. Areanya luas, ada banyak tempat spot foto seperti area santorini. Selain itu ada kebun binatang kecilnya dengan berbagai macam hewan. Cocok buat bepergian bersama keluarga.",success,positive,banyak tempat spot foto seperti area santorini,,,positive,banyak,positive,terjangkau,,,,,,,,,,,positive,ramah,,,,,"scenery, facilities, price, service",scenery:positive; facilities:positive; price:positive; service:positive,4,positive
Agrowisata Bhumi Merapi,Koko Trioko,5,"Datang kesini dihari Jum'at, dengan HTM 30k dan parkir 3k. Tempatnya lumayan luas dengan beberapa satwa yang terawat & spot foto nya. Petugas ramah, lingkungan sejuk nan asri, sangat tenang, pikiran jadi fresh kembali.",success,positive,luas,positive,terawat,,,positive,HTM 30k,positive,sejuk nan asri,,,,,positive,spot foto,positive,sangat tenang,positive,ramah,,,,,"price, scenery, cleanliness, photo_spot, service, atmosphere, crowd",price:positive; scenery:positive; cleanliness:positive; photo_spot:positive; service:positive; atmosphere:positive; crowd:positive,7,positive
